Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,2022-01-01 to 2022-06-30,,,,4982.0,,4982.0,2022-h1,2022,h1,Insurance,1
Telefonica UK Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,33.0,,33.0,2022-h1,2022,h1,Insurance,1
Temple Finance Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,64.0,,64.0,2022-h1,2022,h1,Mortgage & Lending,1
Tesco Personal Finance PLC,TESCO PLC,2021-09-01 to 2022-02-28,14150.0,,,3188.0,,17338.0,2022-h1,2022,h1,Mortgage & Lending,1
Tesco Underwriting Limited,AGEAS SA-NV,2021-09-01 to 2022-02-28,,,,1365.0,,1365.0,2022-h1,2022,h1,Insurance,1
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2022-01-01 to 2022-06-30,15933.0,3.0,1326.0,14.0,7.0,17283.0,2022-h1,2022,h1,Banking,1
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,,560.0,,,560.0,2022-h1,2022,h1,Mortgage & Lending,1
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2021-10-01 to 2022-03-31,,,1001.0,,,1001.0,2022-h1,2022,h1,Mortgage & Lending,1
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2022-01-01 to 2022-06-30,,99.0,,5179.0,50.0,5328.0,2022-h1,2022,h1,Insurance,1
The Prudential Assurance Company Limited,PRUDENTIAL PLC,2022-01-01 to 2022-06-30,,6418.0,18.0,399.0,1834.0,8669.0,2022-h1,2022,h1,Insurance,1
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,2022-01-01 to 2022-06-30,16339.0,6.0,1297.0,161.0,59.0,17862.0,2022-h1,2022,h1,Banking,1
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,2022-01-01 to 2022-06-30,1.0,5333.0,,2494.0,392.0,8220.0,2022-h1,2022,h1,Insurance,1
Topaz Finance Limited,NO GROUP,2022-01-01 to 2022-06-30,,,1901.0,,,1901.0,2022-h1,2022,h1,Mortgage & Lending,1
TSB Bank plc,BANCO DE SABADELL SA,2022-01-01 to 2022-06-30,32578.0,,2194.0,34.0,,34806.0,2022-h1,2022,h1,Banking,1
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2022-01-01 to 2022-06-30,,,,39620.0,,39620.0,2022-h1,2022,h1,Insurance,1
UBS AG,NO GROUP,2022-01-01 to 2022-06-30,37.0,1.0,10.0,,462.0,510.0,2022-h1,2022,h1,Investments,1
UK General Insurance Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,788.0,,788.0,2022-h1,2022,h1,Insurance,1
UK Warranty Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,524.0,,524.0,2022-h1,2022,h1,Insurance,1
Unum Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,524.0,,524.0,2022-h1,2022,h1,Insurance,1
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,2022-01-01 to 2022-06-30,,336.0,,,1084.0,1420.0,2022-h1,2022,h1,Energy & Utilities,1
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2022-01-01 to 2022-06-30,9949.0,,,,,9949.0,2022-h1,2022,h1,Banking,1
Vitality Corporate Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,16.0,,10606.0,7.0,10629.0,2022-h1,2022,h1,Insurance,1
Vodafone Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,185.0,,185.0,2022-h1,2022,h1,Insurance,1
Volkswagen Financial Services (UK) Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1.0,,1.0,2022-h1,2022,h1,Insurance,1
Wescot Credit Services Limited,NO GROUP,2022-01-01 to 2022-06-30,1394.0,,,,,1394.0,2022-h1,2022,h1,Mortgage & Lending,1
Xbridge Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,970.0,,970.0,2022-h1,2022,h1,Insurance,1
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2022-01-01 to 2022-06-30,1822.0,,604.0,12.0,3.0,2441.0,2022-h1,2022,h1,Banking,1
Zopa Bank Limited,NO GROUP,2022-01-01 to 2022-06-30,1406.0,,,,,1406.0,2022-h1,2022,h1,Banking,1
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2022-01-01 to 2022-06-30,2.0,1548.0,,2994.0,508.0,5052.0,2022-h1,2022,h1,Insurance,1
Zurich Insurance PLC,NO GROUP,2022-01-01 to 2022-06-30,,,,2657.0,,2657.0,2022-h1,2022,h1,Insurance,1
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2022-07-01 to 2022-12-31,10.0,,567.0,,,577.0,2022-h2,2022,h2,Mortgage & Lending,2
Acm Ulr Limited,BGL GROUP,2022-07-01 to 2022-12-31,,,,1511.0,,1511.0,2022-h2,2022,h2,Insurance,2
Action 365 Ltd,NO GROUP,2022-07-01 to 2022-12-31,,,,541.0,,541.0,2022-h2,2022,h2,Insurance,2
Adrian Flux Insurance Services Group,NO GROUP,2022-03-01 to 2022-08-31,,,,1047.0,,1047.0,2022-h2,2022,h2,Insurance,2
Advanced Payment Solutions Limited,NO GROUP,2022-04-01 to 2022-09-30,938.0,,,,,938.0,2022-h2,2022,h2,Banking,2
Advisory Insurance Brokers Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,647.0,,647.0,2022-h2,2022,h2,Insurance,2
Affinity Insurance Solutions Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,1625.0,,1625.0,2022-h2,2022,h2,Insurance,2
Ageas Insurance Limited,AGEAS SA-NV,2022-07-01 to 2022-12-31,,,,5177.0,,5177.0,2022-h2,2022,h2,Insurance,2
Ageas Retail Limited,AGEAS SA-NV,2022-07-01 to 2022-12-31,,,,1588.0,,1588.0,2022-h2,2022,h2,Insurance,2
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2022-07-01 to 2022-12-31,923.0,,44.0,3.0,1.0,971.0,2022-h2,2022,h2,Banking,2
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2022-07-01 to 2022-12-31,,,,2794.0,,2794.0,2022-h2,2022,h2,Insurance,2
Al Rayan Bank PLC,MASRAF AL RAYAN Q.P.S.C,2022-07-01 to 2022-12-31,573.0,,60.0,,,633.0,2022-h2,2022,h2,Banking,2
Aldermore Bank Plc,FIRSTRAND LIMITED,2022-07-01 to 2022-12-31,1163.0,,671.0,,,1834.0,2022-h2,2022,h2,Banking,2
Allianz Insurance Plc,ALLIANZ SE,2022-07-01 to 2022-12-31,,,,4114.0,,4114.0,2022-h2,2022,h2,Insurance,2
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,2022-07-01 to 2022-12-31,4960.0,,,23.0,,4983.0,2022-h2,2022,h2,Banking,2
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2022-06-01 to 2022-11-30,,,,17561.0,,17561.0,2022-h2,2022,h2,Insurance,2
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,2022-07-01 to 2022-12-31,,,,2115.0,,2115.0,2022-h2,2022,h2,Insurance,2
Animal Friends Insurance Services Ltd,NO GROUP,2022-07-01 to 2022-12-31,,,,3334.0,,3334.0,2022-h2,2022,h2,Insurance,2
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,2022-07-01 to 2022-12-31,,,,808.0,,808.0,2022-h2,2022,h2,Insurance,2
Assurant General Insurance Limited,ASSURANT INC,2022-07-01 to 2022-12-31,,,,7142.0,,7142.0,2022-h2,2022,h2,Insurance,2
Astrenska Insurance Limited,COLLINSON GROUP,2022-05-01 to 2022-10-31,,,,1695.0,,1695.0,2022-h2,2022,h2,Insurance,2
Asurion Europe Limited,ASURION,2022-07-01 to 2022-12-31,,,,2515.0,,2515.0,2022-h2,2022,h2,Insurance,2
ATLANTA 1 INSURANCE SERVICES LIMITED,ATLANTA GROUP / ARDONAGH GROUP,2022-07-01 to 2022-12-31,,,,3569.0,,3569.0,2022-h2,2022,h2,Insurance,2
Atlanta Insurance Intermediaries Limited,ATLANTA GROUP / ARDONAGH GROUP,2022-07-01 to 2022-12-31,,,,7514.0,,7514.0,2022-h2,2022,h2,Insurance,2
Atom Bank PLC,NO GROUP,2022-04-01 to 2022-09-30,358.0,,179.0,,,537.0,2022-h2,2022,h2,Banking,2
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2022-02-01 to 2022-07-31,,,,14086.0,,14086.0,2022-h2,2022,h2,Insurance,2
Avantia Insurance Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,503.0,,503.0,2022-h2,2022,h2,Insurance,2
Aviva Health UK Limited,AVIVA PLC,2022-07-01 to 2022-12-31,,,,684.0,,684.0,2022-h2,2022,h2,Insurance,2
Aviva Insurance Limited,AVIVA PLC,2022-07-01 to 2022-12-31,,,,46778.0,,46778.0,2022-h2,2022,h2,Insurance,2
Aviva Life Services UK Limited,AVIVA PLC,2022-07-01 to 2022-12-31,,12828.0,874.0,3395.0,2159.0,19256.0,2022-h2,2022,h2,Insurance,2
AWP Assistance UK Ltd,ALLIANZ SE,2022-07-01 to 2022-12-31,,,,4777.0,,4777.0,2022-h2,2022,h2,Insurance,2
AXA Insurance Designated Activity Company,AXA GROUP,2022-07-01 to 2022-12-31,,,,2853.0,,2853.0,2022-h2,2022,h2,Insurance,2
AXA Insurance UK Plc,AXA GROUP,2022-07-01 to 2022-12-31,,,,23169.0,,23169.0,2022-h2,2022,h2,Insurance,2
AXA PPP Healthcare Limited,AXA GROUP,2022-07-01 to 2022-12-31,,,,42181.0,,42181.0,2022-h2,2022,h2,Insurance,2
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2022-07-01 to 2022-12-31,3850.0,,961.0,17.0,,4828.0,2022-h2,2022,h2,Banking,2
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,69214.0,8.0,15037.0,376.0,265.0,84900.0,2022-h2,2022,h2,Banking,2
Barbon Insurance Group Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,560.0,,560.0,2022-h2,2022,h2,Insurance,2
Barclays Bank Plc,BARCLAYS PLC,2022-07-01 to 2022-12-31,7422.0,1.0,2.0,,44.0,7469.0,2022-h2,2022,h2,Banking,2
Barclays Bank UK PLC,BARCLAYS PLC,2022-07-01 to 2022-12-31,74048.0,55.0,11075.0,684.0,1564.0,87426.0,2022-h2,2022,h2,Banking,2
Bennetts Motorcycling Services Limited,LUCIDA GROUP,2022-07-01 to 2022-12-31,,,,558.0,,558.0,2022-h2,2022,h2,Insurance,2
BISL Limited,BGL GROUP,2022-07-01 to 2022-12-31,,,,8004.0,,8004.0,2022-h2,2022,h2,Insurance,2
Black Horse Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,,12.0,90.0,,102.0,2022-h2,2022,h2,Insurance,2
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,2022-04-01 to 2022-09-30,,6.0,568.0,5.0,97.0,676.0,2022-h2,2022,h2,Mortgage & Lending,2
Brightside Insurance Services Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,823.0,,823.0,2022-h2,2022,h2,Insurance,2
British Gas Insurance Limited,CENTRICA PLC,2022-07-01 to 2022-12-31,,,,1516.0,,1516.0,2022-h2,2022,h2,Energy & Utilities,2
British Gas Services Limited,CENTRICA PLC,2022-07-01 to 2022-12-31,,,,83269.0,,83269.0,2022-h2,2022,h2,Energy & Utilities,2
BUPA Insurance Services Limited,BUPA GROUP,2022-07-01 to 2022-12-31,,,,12748.0,,12748.0,2022-h2,2022,h2,Insurance,2
Cabot Credit Management Group Limited,NO GROUP,2022-07-01 to 2022-12-31,3614.0,,39.0,,,3653.0,2022-h2,2022,h2,Mortgage & Lending,2
Call Assist Ltd,CALL ASSIST LIMITED,2022-05-01 to 2022-10-31,,,,1151.0,,1151.0,2022-h2,2022,h2,Insurance,2
Canada Life Limited,GREAT-WEST-LIFECO,2022-07-01 to 2022-12-31,,399.0,,129.0,32.0,560.0,2022-h2,2022,h2,Insurance,2
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2022-07-01 to 2022-12-31,16250.0,,,171.0,,16421.0,2022-h2,2022,h2,Banking,2
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,2022-07-01 to 2022-12-31,,,,842.0,,842.0,2022-h2,2022,h2,Insurance,2
Carfinance247 Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,12.0,,12.0,2022-h2,2022,h2,Mortgage & Lending,2
Carole Nash Insurance Consultants Ltd,ATLANTA GROUP / ARDONAGH GROUP,2022-07-01 to 2022-12-31,,,,2803.0,,2803.0,2022-h2,2022,h2,Insurance,2
Cater Allen Limited,SANTANDER UK GROUP,2022-07-01 to 2022-12-31,522.0,,,,1.0,523.0,2022-h2,2022,h2,Banking,2
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2022-07-01 to 2022-12-31,1005.0,,1336.0,,,2341.0,2022-h2,2022,h2,Mortgage & Lending,2
Citibank UK Limited,CITIGROUP INC,2022-07-01 to 2022-12-31,9776.0,,,1.0,61.0,9838.0,2022-h2,2022,h2,Banking,2
ClearBank Limited,NO GROUP,2022-07-01 to 2022-12-31,2110.0,,,,,2110.0,2022-h2,2022,h2,Banking,2
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2022-02-01 to 2022-07-31,182.0,,,17.0,,199.0,2022-h2,2022,h2,Banking,2
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2022-04-01 to 2022-09-30,32429.0,6.0,2314.0,24.0,50.0,34823.0,2022-h2,2022,h2,Banking,2
Cofunds Limited,AEGON N.V.,2022-07-01 to 2022-12-31,,42.0,,,873.0,915.0,2022-h2,2022,h2,Investments,2
Columbia Threadneedle Management Limited,AMERIPRISE FINANCIAL,2022-07-01 to 2022-12-31,,,,,741.0,741.0,2022-h2,2022,h2,Investments,2
Connells Limited,SKIPTON BUILDING SOCIETY,2022-07-01 to 2022-12-31,,,657.0,84.0,,741.0,2022-h2,2022,h2,Mortgage & Lending,2
Corgi Homeplan Ltd,OVO GROUP,2022-07-01 to 2022-12-31,,,,1311.0,,1311.0,2022-h2,2022,h2,Insurance,2
Coutts & Company,NATWEST GROUP,2022-07-01 to 2022-12-31,1932.0,9.0,180.0,6.0,108.0,2235.0,2022-h2,2022,h2,Banking,2
Covea Insurance plc,COVEA GROUP,2022-07-01 to 2022-12-31,,,,3212.0,,3212.0,2022-h2,2022,h2,Insurance,2
Coventry Building Society,NO GROUP,2022-07-01 to 2022-12-31,4801.0,,878.0,7.0,,5686.0,2022-h2,2022,h2,Banking,2
Cover Genius Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,553.0,,553.0,2022-h2,2022,h2,Insurance,2
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2022-07-01 to 2022-12-31,2400.0,,,,,2400.0,2022-h2,2022,h2,Mortgage & Lending,2
Creation Financial Services Limited,BNP PARIBAS GROUP,2022-07-01 to 2022-12-31,1087.0,,,,,1087.0,2022-h2,2022,h2,Banking,2
Cynergy Bank Limited,CYNERGY CAPITAL LTD,2022-07-01 to 2022-12-31,646.0,,9.0,,,655.0,2022-h2,2022,h2,Banking,2
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,2022-07-01 to 2022-12-31,,,,1848.0,,1848.0,2022-h2,2022,h2,Insurance,2
DAVIES MGA SERVICES LIMITED,NO GROUP,2022-07-01 to 2022-12-31,,,,579.0,,579.0,2022-h2,2022,h2,Insurance,2
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2022-04-01 to 2022-09-30,,,,39444.0,,39444.0,2022-h2,2022,h2,Insurance,2
Elderbridge Limited,TECH MAHINDRA LIMITED,2022-04-01 to 2022-09-30,,,1133.0,,,1133.0,2022-h2,2022,h2,Mortgage & Lending,2
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2022-07-01 to 2022-12-31,,8.0,,,2923.0,2931.0,2022-h2,2022,h2,Investments,2
ERGO TRAVEL INSURANCE SERVICES LTD,ERGO GROUP,2022-07-01 to 2022-12-31,,,,2465.0,,2465.0,2022-h2,2022,h2,Insurance,2
esure Insurance Limited,ESURE GROUP PLC,2022-07-01 to 2022-12-31,,,,12796.0,,12796.0,2022-h2,2022,h2,Insurance,2
EUI Limited,ADMIRAL GROUP PLC,2022-07-01 to 2022-12-31,,,,47622.0,,47622.0,2022-h2,2022,h2,Insurance,2
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,2022-07-01 to 2022-12-31,,,,961.0,,961.0,2022-h2,2022,h2,Insurance,2
Experian Limited,EXPERIAN PLC,2022-04-01 to 2022-09-30,,,,11.0,,11.0,2022-h2,2022,h2,Insurance,2
Extracover Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,815.0,,815.0,2022-h2,2022,h2,Insurance,2
Fairmead Insurance Limited,ALLIANZ SE,2022-04-01 to 2022-09-30,,,,2296.0,,2296.0,2022-h2,2022,h2,Insurance,2
Family Assurance Friendly Society Limited,NO GROUP,2022-07-01 to 2022-12-31,,6.0,,344.0,180.0,530.0,2022-h2,2022,h2,Insurance,2
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2022-07-01 to 2022-12-31,178.0,,,,768.0,946.0,2022-h2,2022,h2,Investments,2
FCE Bank Plc,FORD MOTOR CO,2022-07-01 to 2022-12-31,124.0,,,,,124.0,2022-h2,2022,h2,Banking,2
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,2022-07-01 to 2022-12-31,,874.0,,,,874.0,2022-h2,2022,h2,Insurance,2
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2022-07-01 to 2022-12-31,,512.0,,,2071.0,2583.0,2022-h2,2022,h2,Investments,2
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2022-07-01 to 2022-12-31,,,,9335.0,,9335.0,2022-h2,2022,h2,Insurance,2
FirstRand Bank Limited,FIRSTRAND LIMITED,2022-07-01 to 2022-12-31,,,,20.0,,20.0,2022-h2,2022,h2,Banking,2
Fortegra Europe Insurance Company Ltd,NO GROUP,2022-07-01 to 2022-12-31,,,,2899.0,,2899.0,2022-h2,2022,h2,Insurance,2
Funding Circle Ltd,NO GROUP,2022-07-01 to 2022-12-31,,,,,97.0,97.0,2022-h2,2022,h2,Investments,2
Gresham Insurance Company Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,732.0,,732.0,2022-h2,2022,h2,Insurance,2
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,14.0,,,614.0,628.0,2022-h2,2022,h2,Investments,2
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,2022-07-01 to 2022-12-31,,793.0,,,1694.0,2487.0,2022-h2,2022,h2,Energy & Utilities,2
Hastings Insurance Services Limited,HASTINGS GROUP,2022-07-01 to 2022-12-31,,,,27606.0,,27606.0,2022-h2,2022,h2,Insurance,2
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,,,,719.0,719.0,2022-h2,2022,h2,Investments,2
Highway Insurance Company Limited,ALLIANZ SE,2022-07-01 to 2022-12-31,,,,832.0,,832.0,2022-h2,2022,h2,Insurance,2
Hiscox Insurance Company Limited,HISCOX LTD.,2022-07-01 to 2022-12-31,,,,764.0,,764.0,2022-h2,2022,h2,Insurance,2
Home Retail Group Card Services Limited,J SAINSBURY PLC,2022-03-01 to 2022-08-31,4437.0,,,,,4437.0,2022-h2,2022,h2,Banking,2
Homeserve Membership Limited,HOMESERVE PLC,2022-04-01 to 2022-09-30,,,,1950.0,,1950.0,2022-h2,2022,h2,Insurance,2
Howserv Limited,STAYSURE HOLDINGS LTD,2022-07-01 to 2022-12-31,,,,1437.0,,1437.0,2022-h2,2022,h2,Insurance,2
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2022-07-01 to 2022-12-31,114341.0,33.0,7450.0,825.0,1581.0,124230.0,2022-h2,2022,h2,Banking,2
I Go 4 Ltd.,NO GROUP,2022-07-01 to 2022-12-31,,,,1129.0,,1129.0,2022-h2,2022,h2,Insurance,2
Insurance Factory Ltd,MARKERSTUDY GROUP,2022-07-01 to 2022-12-31,,,,3297.0,,3297.0,2022-h2,2022,h2,Insurance,2
Inter Partner Assistance SA,AXA GROUP,2022-07-01 to 2022-12-31,,,,9269.0,,9269.0,2022-h2,2022,h2,Insurance,2
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,2022-07-01 to 2022-12-31,,36.0,,,1027.0,1063.0,2022-h2,2022,h2,Investments,2
Investec Bank PLC,INVESTEC PLC,2022-04-01 to 2022-09-30,1913.0,,14.0,,54.0,1981.0,2022-h2,2022,h2,Banking,2
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,2022-03-01 to 2022-08-31,,,,83.0,,83.0,2022-h2,2022,h2,Insurance,2
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2022-07-01 to 2022-12-31,7389.0,,,,,7389.0,2022-h2,2022,h2,Banking,2
Kensington Mortgage Company Limited,NO GROUP,2022-04-01 to 2022-09-30,,,984.0,,,984.0,2022-h2,2022,h2,Mortgage & Lending,2
Landmark Mortgages Limited,NO GROUP,2022-07-01 to 2022-12-31,,,1118.0,,,1118.0,2022-h2,2022,h2,Mortgage & Lending,2
LeasePlan UK Limited,LP GROUP B.V.,2022-07-01 to 2022-12-31,,,,2.0,,2.0,2022-h2,2022,h2,Insurance,2
Leeds Building Society,LEEDS BUILDING SOCIETY,2022-07-01 to 2022-12-31,1754.0,,1337.0,8.0,1.0,3100.0,2022-h2,2022,h2,Banking,2
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,2022-07-01 to 2022-12-31,,525.0,,,21.0,546.0,2022-h2,2022,h2,Insurance,2
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,2022-07-01 to 2022-12-31,,,975.0,17.0,,992.0,2022-h2,2022,h2,Mortgage & Lending,2
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2022-07-01 to 2022-12-31,,705.0,,2756.0,,3461.0,2022-h2,2022,h2,Insurance,2
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2022-07-01 to 2022-12-31,,617.0,,1775.0,778.0,3170.0,2022-h2,2022,h2,Insurance,2
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,2022-07-01 to 2022-12-31,,,,9958.0,,9958.0,2022-h2,2022,h2,Insurance,2
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,,,6729.0,,6729.0,2022-h2,2022,h2,Banking,2
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,82878.0,53.0,3758.0,936.0,233.0,87858.0,2022-h2,2022,h2,Banking,2
London and Country Mortgages Ltd,NO GROUP,2022-07-01 to 2022-12-31,,,924.0,30.0,,954.0,2022-h2,2022,h2,Mortgage & Lending,2
M & G Securities Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,,1045.0,1045.0,2022-h2,2022,h2,Investments,2
ManyPets Ltd,NO GROUP,2022-04-01 to 2022-09-30,,,,4269.0,,4269.0,2022-h2,2022,h2,Insurance,2
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,2022-07-01 to 2022-12-31,,,,639.0,,639.0,2022-h2,2022,h2,Insurance,2
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2022-07-01 to 2022-12-31,15625.0,,,362.0,,15987.0,2022-h2,2022,h2,Banking,2
Marshmallow Financial Services Ltd,NO GROUP,2022-07-01 to 2022-12-31,,,,1239.0,,1239.0,2022-h2,2022,h2,Insurance,2
MBNA Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,11444.0,,,243.0,,11687.0,2022-h2,2022,h2,Banking,2
Metro Bank PLC,METRO BANK PLC,2022-07-01 to 2022-12-31,8515.0,,192.0,,6.0,8713.0,2022-h2,2022,h2,Banking,2
Millstream Underwriting Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,84.0,,84.0,2022-h2,2022,h2,Insurance,2
Monzo Bank Ltd,MONZO BANK LIMITED,2022-03-01 to 2022-08-31,27311.0,,,,,27311.0,2022-h2,2022,h2,Banking,2
Moorcroft Debt Recovery Limited,NO GROUP,2022-02-01 to 2022-07-31,620.0,,,,,620.0,2022-h2,2022,h2,Banking,2
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,2022-07-01 to 2022-12-31,881.0,,,,,881.0,2022-h2,2022,h2,Banking,2
MotoNovo Finance Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,53.0,,53.0,2022-h2,2022,h2,Mortgage & Lending,2
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,2022-04-01 to 2022-09-30,,,,530.0,,530.0,2022-h2,2022,h2,Insurance,2
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,2022-07-01 to 2022-12-31,61365.0,11.0,5729.0,175.0,197.0,67477.0,2022-h2,2022,h2,Banking,2
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2022-04-05 to 2022-10-04,44281.0,3.0,6322.0,218.0,343.0,51167.0,2022-h2,2022,h2,Banking,2
Newcastle Building Society,NO GROUP,2022-07-01 to 2022-12-31,405.0,,160.0,,2.0,567.0,2022-h2,2022,h2,Banking,2
Northern Bank Limited,DANSKE BANK A/S,2022-07-01 to 2022-12-31,1644.0,,120.0,3.0,,1767.0,2022-h2,2022,h2,Banking,2
One Call Insurance Services Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,3836.0,,3836.0,2022-h2,2022,h2,Insurance,2
OneSavings Bank Plc,ONESAVINGS BANK PLC,2022-07-01 to 2022-12-31,1757.0,,1687.0,,,3444.0,2022-h2,2022,h2,Banking,2
OVO (S) HOME SERVICES LIMITED,SSE PLC,2022-07-01 to 2022-12-31,,,,1185.0,,1185.0,2022-h2,2022,h2,Insurance,2
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2022-04-01 to 2022-09-30,866.0,,317.0,7.0,,1190.0,2022-h2,2022,h2,Banking,2
People's Administration Services Limited,NO GROUP,2022-04-01 to 2022-09-30,,5697.0,,,,5697.0,2022-h2,2022,h2,Insurance,2
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2022-07-01 to 2022-12-31,,,943.0,,,943.0,2022-h2,2022,h2,Mortgage & Lending,2
Phoenix Life Assurance Limited,PHOENIX GROUP,2022-07-01 to 2022-12-31,,2087.0,1.0,160.0,91.0,2339.0,2022-h2,2022,h2,Insurance,2
Phoenix Life Limited,PHOENIX GROUP,2022-07-01 to 2022-12-31,,2955.0,6.0,2188.0,535.0,5684.0,2022-h2,2022,h2,Insurance,2
Pinnacle Insurance Plc,BNP PARIBAS GROUP,2022-07-01 to 2022-12-31,,,,3604.0,,3604.0,2022-h2,2022,h2,Insurance,2
Post Office Management Services Limited,POST OFFICE LIMITED,2022-04-01 to 2022-09-30,,,,751.0,,751.0,2022-h2,2022,h2,Insurance,2
