Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
MotoNovo Finance Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,24.0,,24.0,2024-h2,2024,h2,Mortgage & Lending,6
MUNICH RE DIGITAL PARTNERS LIMITED,NO GROUP,2024-07-01 to 2024-12-31,,,,1289.0,,1289.0,2024-h2,2024,h2,Insurance,6
National House-Building Council,NO GROUP,2024-04-01 to 2024-09-30,,,,570.0,,570.0,2024-h2,2024,h2,Insurance,6
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,81022.0,38.0,7113.0,104.0,184.0,88461.0,2024-h2,2024,h2,Banking,6
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,58563.0,4.0,4597.0,145.0,54.0,63363.0,2024-h2,2024,h2,Banking,6
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,558.0,1.0,229.0,0.0,16.0,804.0,2024-h2,2024,h2,Banking,6
Northern Bank Limited,DANSKE BANK A/S,2024-07-01 to 2024-12-31,1472.0,,63.0,1.0,,1536.0,2024-h2,2024,h2,Banking,6
Nutmeg Saving and Investment Limited,NO GROUP,2024-07-01 to 2024-12-31,,167.0,,,605.0,772.0,2024-h2,2024,h2,Investments,6
One Call Insurance Services Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,3113.0,,3113.0,2024-h2,2024,h2,Insurance,6
OneSavings Bank Plc,ONESAVINGS BANK PLC,2024-07-01 to 2024-12-31,1834.0,,1143.0,,,2977.0,2024-h2,2024,h2,Banking,6
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-04-01 to 2024-09-30,826.0,,267.0,2.0,,1095.0,2024-h2,2024,h2,Banking,6
People's Administration Services Limited,NO GROUP,2024-04-01 to 2024-09-30,,3611.0,,,,3611.0,2024-h2,2024,h2,Insurance,6
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2024-07-01 to 2024-12-31,,,621.0,,,621.0,2024-h2,2024,h2,Mortgage & Lending,6
Phoenix Life CA Limited,NO GROUP,2024-07-01 to 2024-12-31,,607.0,,322.0,113.0,1042.0,2024-h2,2024,h2,Insurance,6
Phoenix Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,,10178.0,6.0,3043.0,803.0,14030.0,2024-h2,2024,h2,Insurance,6
Pinnacle Insurance Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,2410.0,,2410.0,2024-h2,2024,h2,Insurance,6
Post Office Management Services Limited,NO GROUP,2024-04-01 to 2024-09-30,,,,617.0,,617.0,2024-h2,2024,h2,Insurance,6
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-07-01 to 2024-12-31,879.0,,444.0,5.0,0.0,1328.0,2024-h2,2024,h2,Banking,6
QBE UK Limited,QBE INSURANCE GROUP,2024-07-01 to 2024-12-31,,,,893.0,,893.0,2024-h2,2024,h2,Insurance,6
Qmetric Group Limited,NO GROUP,2024-04-01 to 2024-09-30,,,,3112.0,,3112.0,2024-h2,2024,h2,Insurance,6
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2024-07-01 to 2024-12-31,,478.0,2.0,13.0,187.0,680.0,2024-h2,2024,h2,Insurance,6
Quilter Life & Pensions Limited,QUILTER GROUP,2024-07-01 to 2024-12-31,,546.0,,,87.0,633.0,2024-h2,2024,h2,Insurance,6
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,2024-07-01 to 2024-12-31,,,,9193.0,,9193.0,2024-h2,2024,h2,Insurance,6
RBS Collective Investment Funds Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,,1465.0,1465.0,2024-h2,2024,h2,Investments,6
ReAssure Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,,203.0,,356.0,199.0,758.0,2024-h2,2024,h2,Insurance,6
ReAssure Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,,3691.0,,557.0,559.0,4807.0,2024-h2,2024,h2,Insurance,6
Reassured Ltd,NO GROUP,2024-02-01 to 2024-07-31,,,,579.0,,579.0,2024-h2,2024,h2,Insurance,6
Rothesay Life Plc,NO GROUP,2024-07-01 to 2024-12-31,,676.0,,,,676.0,2024-h2,2024,h2,Insurance,6
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2024-07-01 to 2024-12-31,,,,11992.0,,11992.0,2024-h2,2024,h2,Insurance,6
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2024-07-01 to 2024-12-31,,,,675.0,,675.0,2024-h2,2024,h2,Insurance,6
Saga Services Limited,SAGA PLC,2024-02-01 to 2024-07-31,,,,15359.0,,15359.0,2024-h2,2024,h2,Insurance,6
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-03-01 to 2024-08-31,3199.0,,28.0,786.0,,4013.0,2024-h2,2024,h2,Banking,6
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,59173.0,37.0,5270.0,116.0,50.0,64646.0,2024-h2,2024,h2,Banking,6
